epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,9032.82,1.35534,1.54579,1.60975,0.66988,0.57172,0.6216,0.39498,1.32379,1.28876,1.45988,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
82,9144.73,1.34996,1.54272,1.60193,0.67749,0.56147,0.61954,0.3962,1.32845,1.28544,1.4642,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
83,9257.11,1.34168,1.53849,1.60888,0.68818,0.55761,0.62058,0.39532,1.31839,1.29417,1.46194,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
84,9369.09,1.3265,1.51689,1.59689,0.66619,0.57103,0.62668,0.39548,1.33578,1.2965,1.46791,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525,0.0094575,0.0031525
85,9480.13,1.33311,1.5273,1.59302,0.65273,0.5743,0.62019,0.39496,1.32094,1.29397,1.46002,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
86,9591.89,1.33747,1.52651,1.59852,0.66792,0.56873,0.62001,0.39781,1.31416,1.28635,1.45983,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875,0.0089625,0.0029875
87,9703.35,1.34098,1.52477,1.59853,0.67201,0.56298,0.61944,0.39839,1.31306,1.2838,1.45593,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
88,9813.91,1.32618,1.50961,1.58276,0.66928,0.57738,0.62594,0.39653,1.32785,1.27957,1.46741,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
89,9925.44,1.32582,1.49501,1.58444,0.68406,0.56622,0.62712,0.39816,1.32667,1.2904,1.4668,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
90,10036.6,1.32126,1.49453,1.5811,0.66122,0.57641,0.62513,0.39516,1.32507,1.28886,1.46609,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575,0.0079725,0.0026575
91,10146.4,1.32503,1.50413,1.58267,0.66207,0.58682,0.62705,0.3959,1.32596,1.27767,1.46442,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
92,10257.3,1.32749,1.50534,1.59083,0.6512,0.57996,0.62586,0.39737,1.30935,1.27233,1.45179,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925,0.0074775,0.0024925
93,10367.3,1.31618,1.48802,1.57686,0.67129,0.58011,0.62893,0.39874,1.31389,1.26831,1.45487,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
94,10477.7,1.2935,1.48517,1.57035,0.67291,0.57646,0.62964,0.40127,1.31393,1.26377,1.45808,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
95,10588.6,1.29514,1.47452,1.56578,0.66819,0.57341,0.62852,0.39911,1.31875,1.27159,1.46455,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
96,10699.3,1.31362,1.48514,1.57406,0.66678,0.57678,0.62683,0.39803,1.31775,1.27207,1.46344,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625,0.0064875,0.0021625
97,10810.6,1.30015,1.45993,1.56451,0.68081,0.57593,0.6289,0.39766,1.325,1.26816,1.46891,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
